tamanio,costo_prom,costo_moda,costo_var,costo_min,costo_max,dens_celda_t2,dens_celda_t3,dens_total,entropia_costos,gradiente_prom,bfs_costo,bfs_nodos,bfs_tiempo,a_star_costo,a_star_nodos,a_star_tiempo,ucs_costo,ucs_nodos,ucs_tiempo,greedy_costo,greedy_nodos,greedy_tiempo,mejor_alg
6,1.3333333333333333,1.0,0.3888888888888889,0,3,0.25,0.05555555555555555,0.3055555555555556,0.8770020638589834,0.5666666666666667,13,36,0.00010085105895996094,11,28,0.00015354156494140625,11,36,0.00010204315185546875,15,11,3.266334533691406e-05,A*
5,1.32,1.0,0.4576,0,3,0.2,0.08,0.28,0.9149513939783582,0.575,11,25,6.341934204101562e-05,8,17,7.605552673339844e-05,8,25,7.009506225585938e-05,12,9,2.5272369384765625e-05,A*
4,1.375,1.0,0.484375,0,3,0.3125,0.0625,0.375,1.0337005498525014,0.7083333333333334,8,16,4.9591064453125e-05,7,8,3.170967102050781e-05,7,15,3.814697265625e-05,7,7,1.9788742065429688e-05,Greedy
6,1.6388888888888888,1.0,0.6751543209876544,0,3,0.2777777777777778,0.19444444444444445,0.4722222222222222,1.1203546713600374,0.7333333333333333,14,36,8.440017700195312e-05,13,30,0.00015282630920410156,13,36,0.00010275840759277344,15,11,3.266334533691406e-05,A*
10,1.5,1.0,0.43,0,3,0.35,0.08,0.43,0.9402460943207263,0.7055555555555556,27,100,0.00024271011352539062,20,76,0.0003113746643066406,20,100,0.00031566619873046875,25,19,7.605552673339844e-05,A*
9,1.4074074074074074,1.0,0.3401920438957476,0,3,0.345679012345679,0.037037037037037035,0.38271604938271603,0.8475756021004544,0.6111111111111112,23,81,0.00020241737365722656,17,23,0.00010323524475097656,17,81,0.0002503395080566406,20,17,5.555152893066406e-05,A*
8,1.421875,1.0,0.400146484375,0,3,0.3125,0.0625,0.375,0.9035904721938033,0.6964285714285714,21,64,0.00016808509826660156,16,51,0.00019168853759765625,16,64,0.00019884109497070312,17,15,5.2928924560546875e-05,A*
9,1.5061728395061729,1.0,0.4721841182746534,0,3,0.32098765432098764,0.09876543209876543,0.41975308641975306,0.9689732712095303,0.6736111111111112,19,81,0.00017905235290527344,18,49,0.0002155303955078125,18,81,0.0002446174621582031,24,17,5.412101745605469e-05,A*
10,1.39,1.0,0.35790000000000005,0,3,0.3,0.05,0.35,0.8426539025175497,0.5666666666666667,27,100,0.00024437904357910156,19,79,0.00031685829162597656,19,100,0.00030994415283203125,24,19,7.462501525878906e-05,A*
8,1.484375,1.0,0.499755859375,0,3,0.28125,0.109375,0.390625,0.9733153215609092,0.6696428571428571,20,64,0.0001430511474609375,16,51,0.0002009868621826172,16,64,0.00018668174743652344,23,15,4.673004150390625e-05,A*
3,1.6666666666666667,2.0,0.8888888888888888,0,3,0.3333333333333333,0.2222222222222222,0.5555555555555556,1.310783678099714,1.1666666666666667,8,9,2.5987625122070312e-05,5,5,2.2411346435546875e-05,5,9,2.1457672119140625e-05,7,5,1.2159347534179688e-05,A*
6,1.5555555555555556,1.0,0.5802469135802469,0,3,0.3055555555555556,0.1388888888888889,0.4444444444444445,1.073286211591806,0.8,15,36,8.320808410644531e-05,14,31,0.00012731552124023438,14,36,0.00011205673217773438,15,11,5.316734313964844e-05,A*
10,1.6,1.0,0.52,0,3,0.35,0.13,0.48,1.0221238753073907,0.6777777777777778,32,100,0.00041556358337402344,18,32,0.0002732276916503906,18,99,0.0005881786346435547,26,19,0.00011706352233886719,A*
